Catcher,Pitcher,Hitter,Pitch,Swing,Strike,Balls,Strikes,Outs,1B,2B,3B
simms,jack m,dom,0,0,0,0,0,0,0,0,0
simms,jack m,dom,0,1,1,1,0,0,0,0,0
simms,jack m,parker,0,1,0,0,0,0,1,0,0
simms,jack m,parker,1,0,0,0,1,0,1,0,0
simms,jack m,parker,1,1,0,1,1,0,1,0,0
simms,jack m,parker,1,0,0,1,2,0,1,0,0
simms,jack m,parker,0,1,1,2,2,0,1,0,0
simms,jack m,plant,1,1,0,0,0,1,1,0,0
simms,jack m,plant,0,0,0,0,1,1,1,0,0
simms,jack m,plant,0,1,0,1,1,1,1,0,0
simms,jack m,plant,0,1,1,1,2,1,1,0,0
simms,jack m,plant,1,0,0,1,2,1,1,0,0
simms,jack m,plant,1,0,1,2,2,1,1,0,0
simms,jack m,bondoc,0,0,0,0,0,2,1,0,0
simms,jack m,bondoc,0,1,0,1,0,2,1,0,0
simms,jack m,bondoc,1,0,0,1,1,2,1,0,0
simms,jack m,bondoc,0,1,1,2,1,2,1,0,0
parker,darius,dame,0,0,1,0,0,0,0,0,0
parker,darius,dame,0,0,0,0,1,0,0,0,0
parker,darius,dame,1,1,0,1,1,0,0,0,0
parker,darius,dame,0,0,0,1,2,0,0,0,0
parker,darius,dame,0,0,0,2,2,0,0,0,0
parker,darius,dame,0,0,0,3,2,0,0,0,0
parker,darius,aryo,0,1,1,0,0,0,1,0,0
parker,darius,aryo,0,1,1,0,1,0,1,0,0
parker,darius,aryo,0,0,0,0,2,0,1,0,0
parker,darius,aryo,1,1,0,1,2,0,1,0,0
parker,darius,rak,1,0,0,0,0,1,1,0,0
parker,darius,rak,0,1,1,1,0,1,1,0,0
simms,jack m,dom,1,0,0,0,0,2,0,0,0
simms,jack m,dom,0,0,0,1,0,2,0,0,0
simms,jack m,dom,0,1,1,2,0,2,0,0,0
simms,jack m,parker,0,1,1,0,0,0,0,0,0
simms,jack m,plant,1,0,1,0,0,0,0,1,0
simms,jack m,plant,0,0,0,0,1,0,0,1,0
simms,jack m,plant,1,0,1,1,1,0,0,1,0
simms,jack m,plant,1,0,0,1,2,0,0,1,0
simms,jack m,plant,1,1,1,2,2,0,0,0,1
simms,jack m,bondoc,0,0,0,0,0,1,0,0,1
simms,jack m,bondoc,1,0,0,1,0,1,0,0,1
simms,jack m,bondoc,0,1,1,2,0,1,0,0,1
simms,jack m,dame,0,1,0,0,0,1,1,0,0
simms,jack m,dame,1,0,0,0,1,1,1,0,0
simms,jack m,dame,0,1,1,1,1,1,1,0,0
simms,jack m,dame,0,0,0,1,2,1,1,0,0
simms,jack m,dame,1,0,1,2,2,1,1,0,0
parker,darius,aryo,0,1,1,0,0,2,0,0,0
parker,darius,aryo,1,1,0,0,1,2,0,0,0
parker,darius,aryo,0,1,1,0,2,2,0,0,0
parker,darius,aryo,0,0,0,0,2,2,0,0,0
parker,darius,aryo,0,0,0,1,2,2,0,0,0
parker,darius,aryo,1,0,0,2,2,2,0,0,0
parker,darius,aryo,0,0,1,3,2,2,0,0,0
parker,darius,rak,1,0,0,0,0,0,0,0,0
parker,darius,rak,0,0,0,1,0,0,0,0,0
parker,darius,rak,0,1,0,2,0,0,0,0,0
parker,darius,rak,1,1,1,2,1,0,0,0,0
parker,darius,rak,1,1,0,2,2,0,0,0,0
parker,darius,dom,0,1,1,0,0,1,0,0,0
parker,darius,dom,1,0,0,0,1,1,0,0,0
parker,darius,dom,0,0,0,1,1,1,0,0,0
parker,darius,dom,1,0,0,2,1,1,0,0,0
parker,darius,dom,0,1,1,3,1,1,0,0,0
parker,darius,dom,1,1,1,3,2,1,0,0,0
simms,jack m,parker,0,1,1,0,0,2,0,0,0
simms,jack m,plant,1,0,0,0,0,2,1,0,0
simms,jack m,plant,0,0,0,1,0,2,1,0,0
simms,jack m,plant,0,0,0,2,0,2,1,0,0
simms,jack m,plant,0,1,0,3,0,2,1,0,0
simms,jack m,plant,0,0,0,3,1,2,1,0,0
simms,jack m,bondoc,1,0,0,0,0,2,1,1,0
simms,jack m,bondoc,0,0,0,1,0,2,1,1,0
simms,jack m,dame,0,1,0,0,0,2,1,1,1
simms,jack m,dame,0,0,0,0,1,2,1,1,1
simms,jack m,dame,0,1,1,1,1,2,1,1,1
simms,jack m,dame,1,0,0,1,2,2,1,1,1
simms,jack m,dame,0,1,1,2,2,2,1,1,1
simms,jack m,dame,0,0,0,2,2,2,1,1,1
simms,jack m,dame,0,0,0,3,2,2,1,1,1
simms,jack m,aryo,0,1,0,0,0,2,1,1,1
simms,jack m,aryo,0,0,0,0,1,2,1,1,1
simms,jack m,aryo,0,1,1,1,1,2,1,1,1
simms,jack m,aryo,1,0,0,1,2,2,1,1,1
simms,jack m,aryo,0,0,0,2,2,2,1,1,1
simms,jack m,rak,0,1,0,0,0,2,1,1,1
simms,jack m,rak,1,0,0,0,1,2,1,1,1
simms,jack m,rak,0,1,1,1,1,2,1,1,1
simms,jack m,rak,0,1,1,1,2,2,1,1,1
simms,jack m,dom,1,1,0,0,0,0,1,1,1
simms,jack m,dom,0,0,0,0,1,0,1,1,1
simms,jack m,dom,1,0,0,1,1,0,1,1,1
simms,jack m,dom,0,1,1,2,1,0,1,1,1
parker,darius,plant,1,1,0,0,0,1,1,1,1
parker,darius,plant,1,0,0,0,1,1,0,0,0
parker,darius,plant,0,1,1,1,1,1,0,0,0
parker,darius,simms,1,0,0,0,0,2,0,0,0
parker,darius,simms,0,1,0,1,0,2,0,0,0
parker,darius,simms,1,0,0,1,1,2,0,0,0
parker,darius,simms,0,0,0,2,1,2,0,0,0
parker,darius,simms,0,1,1,3,1,2,0,0,0
parker,darius,simms,0,0,0,3,2,2,0,0,0
parker,darius,bondoc,1,1,0,0,0,2,1,0,0
parker,darius,bondoc,0,1,1,0,1,2,1,0,0
parker,darius,bondoc,1,0,0,0,2,2,1,0,0
parker,darius,bondoc,0,1,1,1,2,2,0,0,0
parker,darius,bondoc,1,0,1,1,2,2,1,0,0
parker,darius,dame,0,0,0,0,0,0,1,0,0
parker,darius,dame,0,0,0,1,0,0,1,0,0
parker,darius,dame,0,0,0,2,0,0,0,0,0
