Catcher,Pitcher,Hitter,Pitch type,Thrown strike? (Don't count swings at balls),Swing?,Balls before pitch,Strikes before pitch,Outs,1B occupied?,2B occupied,3B occupied,
Simms,Burns,Rak,4-seam fastball,TRUE,TRUE,0,0,0,FALSE,FALSE,FALSE,
,,Rak,Slider,FALSE,FALSE,0,1,0,FALSE,FALSE,FALSE,
,,Rak,4-seam fastball,FALSE,FALSE,1,1,0,FALSE,FALSE,FALSE,
,,rak,4-seam fastball,TRUE,TRUE,2,2,0,FALSE,FALSE,FALSE,
,,rak,4-seam fastball,FALSE,FALSE,3,2,0,FALSE,FALSE,FALSE,
,,rak,4-seam fastball,FALSE,FALSE,3,2,0,FALSE,FALSE,FALSE,
,,plant,4-seam fastball,TRUE,FALSE,0,0,0,TRUE,FALSE,FALSE,
,,plant,Curveball,TRUE,TRUE,0,1,0,TRUE,FALSE,FALSE,
,,Parker,4-seam fastball,TRUE,TRUE,0,0,2,FALSE,FALSE,FALSE,
,,Parker,4-seam fastball,TRUE,TRUE,0,1,,FALSE,FALSE,FALSE,
Simon,Jakin,Dame,4-seam fastball,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,
,,Dame,4-seam fastball,FALSE,FALSE,1,0,0,FALSE,FALSE,FALSE,
,,Dame,Curveball,FALSE,FALSE,2,0,0,FALSE,FALSE,FALSE,
,,Dame,4-seam fastball,TRUE,TRUE,3,0,0,FALSE,FALSE,FALSE,
,,Dame,4-seam fastball,TRUE,TRUE,3,1,0,FALSE,FALSE,FALSE,
,,Dame,4-seam fastball,TRUE,TRUE,3,2,0,FALSE,FALSE,FALSE,
,,Aryo,4-seam fastball,TRUE,TRUE,0,0,0,TRUE,FALSE,FALSE,
,,Aryo,4-seam fastball,TRUE,TRUE,0,1,0,FALSE,FALSE,FALSE,
,,Aryo,4-seam fastball,TRUE,FALSE,0,2,0,FALSE,FALSE,FALSE,
,,Simms,4-seam fastball,TRUE,TRUE,0,0,1,FALSE,FALSE,FALSE,
,,Fast,4-seam fastball,TRUE,TRUE,0,0,1,TRUE,FALSE,FALSE,
,,Fast,4-seam fastball,FALSE,FALSE,0,1,2,FALSE,TRUE,FALSE,
,,Fast,4-seam fastball,FALSE,FALSE,1,1,2,FALSE,FALSE,FALSE,
,,fast,4-seam fastball,FALSE,FALSE,2,1,2,FALSE,FALSE,FALSE,
,,Rak,4-seam fastball,FALSE,FALSE,0,0,2,TRUE,TRUE,FALSE,
,,Rak,4-seam fastball,FALSE,FALSE,1,0,2,TRUE,TRUE,FALSE,
,,Rak,Curveball,TRUE,FALSE,2,0,2,TRUE,TRUE,FALSE,
,,Rak,4-seam fastball,FALSE,FALSE,2,1,2,FALSE,FALSE,FALSE,
,,Rak,4-seam fastball,TRUE,FALSE,3,1,2,FALSE,FALSE,FALSE,
,,Rak,4-seam fastball,TRUE,TRUE,3,2,2,FALSE,FALSE,FALSE,
,,Rak,Curveball,FALSE,FALSE,3,2,2,FALSE,FALSE,FALSE,
,,Plant,Curveball,FALSE,FALSE,0,0,2,TRUE,TRUE,TRUE,
,,Plant,4-seam fastball,FALSE,FALSE,1,0,2,FALSE,FALSE,FALSE,
,,Plant,Curveball,TRUE,FALSE,1,1,2,FALSE,FALSE,FALSE,
,,Plant,4-seam fastball,TRUE,TRUE,1,2,2,FALSE,FALSE,FALSE,
,,Parker,Curveball,FALSE,FALSE,0,0,2,TRUE,TRUE,FALSE,
,,Parker,4-seam fastball,FALSE,FALSE,1,0,2,FALSE,FALSE,FALSE,
,,Parker,4-seam fastball,TRUE,TRUE,2,1,2,FALSE,FALSE,FALSE,
