Catcher,Pitcher,Hitter,Pitch type,Thrown strike? (Don't count swings at balls),Swing?,Outcome,1B outcome,2B outcome,3B outcome
Simms,Jack M,Dom,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Dom,Fastball,TRUE,TRUE,Hit,TRUE,FALSE,FALSE
,,Parker,Fastball,TRUE,FALSE,,TRUE,FALSE,FALSE
,,Parker,Curveball,FALSE,FALSE,,TRUE,FALSE,FALSE
,,Parker,Curveball,TRUE,FALSE,,TRUE,FALSE,FALSE
,,Parker,Slider,FALSE,FALSE,,TRUE,FALSE,FALSE
,,Parker,Fastball,TRUE,TRUE,Out,TRUE,FALSE,FALSE
,,Plant,Curveball,TRUE,FALSE,,TRUE,FALSE,FALSE
,,Plant,Fastball,FALSE,FALSE,,TRUE,FALSE,FALSE
,,Plant,Fastball,TRUE,FALSE,,TRUE,FALSE,FALSE
,,Plant,Fastball,TRUE,TRUE,,TRUE,FALSE,FALSE
,,Plant,Curveball,FALSE,FALSE,,TRUE,FALSE,FALSE
,,Plant,Curveball,FALSE,TRUE,Out,TRUE,FALSE,FALSE
,,Bondoc,Fastball,FALSE,FALSE,,TRUE,FALSE,FALSE
,,Bondoc,Fastball,TRUE,FALSE,,TRUE,FALSE,FALSE
,,Bondoc,Curveball,FALSE,FALSE,,TRUE,FALSE,FALSE
,,Bondoc,Fastball,TRUE,TRUE,Out,FALSE,FALSE,FALSE
Parker,Darius,Dame,Fastball,FALSE,TRUE,,FALSE,FALSE,FALSE
,,Dame,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Dame,Slider,TRUE,FALSE,,FALSE,FALSE,FALSE
,,Dame,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Dame,Fastball,FALSE,FALSE,,FALSE,FALSE,FALSE
,,Dame,Fastball,FALSE,FALSE,Walk,TRUE,FALSE,FALSE
,,Aryo,Fastball,TRUE,TRUE,,TRUE,FALSE,FALSE
,,Aryo,Fastball,TRUE,TRUE,,TRUE,FALSE,FALSE
,,Aryo,Fastball,FALSE,FALSE,,TRUE,FALSE,FALSE
,,Aryo,Slider,TRUE,FALSE,Out,TRUE,FALSE,FALSE
,,Rak,Changeup,FALSE,FALSE,,TRUE,FALSE,FALSE
